iter	Passed	Remaining
0	39	11904
1	79	11806
2	119	11840
3	158	11733
4	198	11733
5	224	10997
6	264	11055
7	306	11188
8	345	11162
9	385	11169
10	424	11164
11	466	11202
12	506	11182
13	546	11155
14	587	11157
15	626	11123
16	666	11099
17	705	11055
18	745	11022
19	753	10550
20	794	10549
21	833	10532
22	873	10524
23	916	10539
24	955	10514
25	995	10491
26	1035	10467
27	1073	10431
28	1099	10272
29	1138	10243
30	1177	10216
31	1216	10187
32	1255	10161
33	1294	10131
34	1335	10112
35	1374	10078
36	1414	10054
37	1453	10024
38	1493	9994
39	1533	9965
40	1575	9952
41	1615	9922
42	1656	9898
43	1696	9872
44	1736	9839
45	1775	9801
46	1815	9770
47	1855	9738
48	1895	9707
49	1934	9672
50	1974	9641
51	2014	9607
52	2053	9569
53	2092	9531
54	2131	9492
55	2170	9458
56	2209	9419
57	2248	9381
58	2288	9346
59	2328	9312
60	2366	9272
61	2407	9240
62	2448	9211
63	2488	9175
64	2527	9137
65	2566	9097
66	2607	9067
67	2646	9028
68	2666	8925
69	2707	8896
70	2745	8855
71	2793	8846
72	2836	8821
73	2876	8784
74	2915	8746
75	2953	8703
76	2992	8667
77	3033	8634
78	3071	8592
79	3110	8552
80	3149	8516
81	3188	8477
82	3228	8441
83	3267	8403
84	3308	8367
85	3347	8331
86	3388	8295
87	3428	8258
88	3467	8221
89	3506	8182
90	3545	8143
91	3585	8107
92	3593	7997
93	3634	7965
94	3675	7931
95	3714	7893
96	3754	7857
97	3793	7819
98	3832	7781
99	3871	7742
100	3910	7705
101	3949	7666
102	3966	7587
103	4005	7548
104	4014	7456
105	4052	7416
106	4091	7379
107	4130	7342
108	4155	7282
109	4195	7247
110	4235	7211
111	4274	7174
112	4312	7136
113	4353	7102
114	4393	7067
115	4433	7032
116	4473	6996
117	4515	6964
118	4555	6929
119	4596	6894
120	4633	6853
121	4671	6815
122	4711	6779
123	4751	6743
124	4789	6705
125	4830	6670
126	4838	6590
127	4878	6555
128	4917	6518
129	4955	6479
130	4995	6444
131	5033	6406
132	5073	6370
133	5113	6334
134	5152	6297
135	5191	6260
136	5231	6224
137	5271	6188
138	5311	6152
139	5349	6113
140	5389	6077
141	5429	6040
142	5467	6002
143	5505	5964
144	5545	5927
145	5584	5890
146	5623	5853
147	5663	5816
148	5702	5779
149	5741	5741
150	5782	5705
151	5821	5668
152	5859	5629
153	5898	5592
154	5939	5555
155	5978	5518
156	6017	5480
157	6057	5443
158	6095	5405
159	6134	5367
160	6174	5330
161	6212	5292
162	6251	5254
163	6289	5215
164	6328	5177
165	6367	5140
166	6407	5102
167	6446	5065
168	6486	5028
169	6526	4991
170	6566	4953
171	6607	4917
172	6646	4879
173	6686	4841
174	6724	4803
175	6762	4764
176	6810	4732
177	6851	4695
178	6890	4657
179	6928	4619
180	6967	4580
181	7007	4543
182	7046	4505
183	7085	4466
184	7124	4428
185	7162	4390
186	7201	4351
187	7240	4313
188	7280	4275
189	7319	4237
190	7360	4200
191	7397	4161
192	7402	4104
193	7441	4066
194	7482	4029
195	7521	3990
196	7560	3952
197	7600	3915
198	7639	3877
199	7677	3838
200	7718	3801
201	7758	3764
202	7797	3725
203	7834	3686
204	7873	3648
205	7924	3616
206	7972	3581
207	8016	3545
208	8060	3509
209	8103	3472
210	8146	3436
211	8187	3398
212	8226	3360
213	8267	3322
214	8306	3283
215	8345	3245
216	8384	3207
217	8425	3169
218	8464	3130
219	8505	3092
220	8543	3054
221	8582	3015
222	8621	2977
223	8659	2938
224	8699	2899
225	8739	2861
226	8778	2823
227	8816	2784
228	8856	2745
229	8894	2706
230	8933	2668
231	8975	2630
232	9014	2592
233	9053	2553
234	9093	2515
235	9132	2476
236	9172	2438
237	9212	2399
238	9251	2361
239	9290	2322
240	9329	2284
241	9369	2245
242	9409	2207
243	9448	2168
244	9489	2130
245	9529	2091
246	9569	2053
247	9609	2014
248	9647	1976
249	9687	1937
250	9726	1898
251	9766	1860
252	9803	1821
253	9843	1782
254	9883	1744
255	9923	1705
256	9963	1667
257	10003	1628
258	10044	1590
259	10084	1551
260	10123	1512
261	10163	1474
262	10203	1435
263	10243	1396
264	10282	1358
265	10322	1319
266	10361	1280
267	10399	1241
268	10439	1203
269	10463	1162
270	10502	1123
271	10541	1085
272	10580	1046
273	10619	1007
274	10658	968
275	10698	930
276	10736	891
277	10776	852
278	10816	814
279	10854	775
280	10866	734
281	10909	696
282	10954	658
283	10994	619
284	11033	580
285	11075	542
286	11115	503
287	11155	464
288	11194	426
289	11232	387
290	11270	348
291	11310	309
292	11349	271
293	11388	232
294	11427	193
295	11466	154
296	11504	116
297	11543	77
298	11583	38
299	11621	0
