,title,rating,fat,Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Magnesium,Zinc,Selenium,Copper,Manganese,Molybdenum,Potassium,Choline
11,Spicy Noodle Soup,4.375,49.42307692307692,166.7,52.333333333333336,56.21818181818182,46.91304347826086,137.14285714285717,76.14,0.0,0.0,112.22222222222221,92.15384615384615,173.61111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Citrus Salad with Mint Sugar,4.375,5.910256410256411,8.2,0.0,85.30909090909091,24.956521739130434,9.285714285714286,14.78,0.0,39.44444444444444,50.77777777777777,5.692307692307692,5.277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Pumpkin Muffins,4.375,2.9487179487179485,3.105,0.0,14.836363636363636,1.1739130434782608,28.57142857142857,12.2,0.0,1.3333333333333337,6.777777777777777,6.538461538461539,12.222222222222221,0.0,0.0,0.0,24.166666666666668,13.076923076923078,33.125,17.529411764705884,12.25,0.0,0.0,16.319999999999997,9.92,11.904761904761903,7.545454545454546,0.0,118.88888888888889,5.739130434782609,0.0,18.617021276595743,0.0
105,Apricot-Pistachio Muffins Baked on the Grill,5.0,63.0,33.35,0.0,42.981818181818184,16.913043478260867,61.78571428571429,54.64,0.0,0.0,24.000000000000007,10.23076923076923,40.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,58.82352941176471,0.0,0.0,0.0,0.0,40.0,47.61904761904761,0.0,0.0,147.77777777777777,0.0,0.0,8.361702127659575,0.0
271,Breakfast Bowl With Quinoa and Berries,5.0,0.4358974358974359,0.1149999999999999,0.0,4.534545454545455,0.0434782608695652,14.64285714285714,1.52,0.0,0.3333333333333333,19.33333333333333,1.3076923076923077,3.055555555555556,0.0,4.666666666666666,0.0,2.416666666666667,3.0769230769230766,4.356249999999999,3.0,5.0,0.0,0.0,0.0,1.6,3.333333333333333,1.5454545454545454,0.7272727272727273,7.111111111111111,0.0,0.0,2.6382978723404253,1.4363636363636365
399,Dried-Cranberry Spread,4.375,86.82051282051283,225.0,72.66666666666667,38.70909090909091,47.17391304347826,0.7142857142857143,71.92,0.0,0.0,33.111111111111114,72.92307692307692,3.1666666666666665,0.0,0.0,0.0,0.0,14.461538461538462,0.75625,1.411764705882353,0.5,15.416666666666668,0.0,1.36,0.32,3.571428571428572,7.636363636363637,1.4545454545454546,4.0,3.4782608695652173,0.0,4.382978723404255,0.4
402,"Beet, Carrot, and Apple Juice with Ginger",4.375,1.2435897435897436,0.2049999999999999,0.0,14.64,9.73913043478261,24.642857142857142,3.34,0.0,84.8888888888889,10.666666666666668,3.6153846153846154,4.222222222222222,0.0,4.800000000000001,0.0,5.333333333333333,11.846153846153845,8.28125,10.588235294117649,16.75,0.0,0.0,0.0,4.16,6.428571428571429,4.1818181818181825,1.818181818181818,18.555555555555557,0.0,0.0,10.27659574468085,4.218181818181818
428,Haricots Verts With Poached Eggs And Tarragon Vinaigrette,5.0,36.92307692307693,80.0,10.666666666666668,22.48363636363636,21.65217391304348,17.5,12.82,0.0,0.0,0.0,11.153846153846157,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Zucchini Raisin Bran Muffins,4.375,54.282051282051285,60.675,5.666666666666666,48.54909090909091,34.47826086956522,58.92857142857143,54.84,0.0,33.666666666666664,27.111111111111107,22.30769230769231,44.666666666666664,0.0,3.4666666666666663,0.0,5.083333333333333,27.461538461538467,26.05625,5.882352941176471,10.0,0.0,0.0,5.2,2.24,5.0,2.363636363636364,1.2727272727272725,7.777777777777778,0.0,0.0,8.297872340425533,2.4363636363636365
477,Ashkenazic Sour Cream Coffee Cake (Smeteneh Küchen),4.375,51.53846153846153,111.5,30.33333333333333,22.97090909090909,20.60869565217391,0.0,13.72,84.8,0.0,0.0,12.076923076923077,5.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
