,title,rating,fat,Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Magnesium,Zinc,Selenium,Copper,Manganese,Molybdenum,Potassium,Choline
3,Mahi-Mahi in Tomato Olive Sauce,5.0,59.294871794871796,42.91,9.333333333333334,9.407272727272726,53.78260869565218,11.785714285714286,23.46,0.0,2.0,0.4444444444444444,5.846153846153847,23.555555555555557,0.0,86.8,3.916666666666667,10.833333333333332,9.076923076923077,10.1875,5.411764705882352,6.25,40.0,0.0,5.44,15.52,7.142857142857142,4.909090909090908,29.81818181818182,24.555555555555554,7.91304347826087,0.0,4.297872340425532,9.509090909090908
30,Asian Steak Topped with Bell Pepper Stir-Fry,4.375,0.1358974358974359,0.0,0.0,42.10181818181818,0.0,3.364285714285714,1.43,0.0,0.0,110.55555555555556,0.576923076923077,1.0333333333333332,0.0,0.0,0.0,3.2583333333333337,6.830769230769231,3.975,14.529411764705882,0.0,0.0,0.0,0.0,1.344,2.142857142857143,1.1454545454545455,0.0,6.422222222222223,4.343478260869565,0.0,3.4680851063829787,0.0
34,Fontina Mac with Squash and Sage,5.0,146.44871794871796,351.62,114.66666666666667,43.31636363636363,153.65217391304347,26.42857142857143,231.06,0.0,60.11111111111111,27.333333333333336,180.23076923076923,28.833333333333332,5.5,8.666666666666668,7.333333333333332,91.16666666666667,68.53846153846153,39.8375,16.23529411764706,5.25,128.33333333333334,0.0,9.22,78.96000000000001,14.285714285714285,72.09090909090911,89.45454545454545,12.666666666666668,5.0,0.0,7.808510638297872,6.727272727272727
44,"Grilled Beef, Jícama, and Apple Salad",4.375,8.628205128205128,20.775000000000002,17.666666666666668,48.03636363636363,10.565217391304348,16.785714285714285,44.6,0.0,33.666666666666664,9.777777777777779,2.1538461538461537,29.44444444444445,0.0,3.4666666666666663,0.0,5.083333333333333,5.307692307692308,4.86875,5.882352941176471,10.0,0.0,0.0,5.2,2.24,5.0,2.363636363636364,1.2727272727272725,7.777777777777778,0.0,0.0,5.914893617021278,2.4363636363636365
47,Herbed Goat Cheese Spread with Mint,4.375,83.58974358974359,176.0,53.333333333333336,42.34545454545455,100.3913043478261,10.714285714285714,74.0,8.0,0.0,4.777777777777778,57.46153846153845,13.11111111111111,4.0,0.0,0.0,4.166666666666667,8.46153846153846,15.125,10.0,3.25,59.583333333333336,0.0,5.6000000000000005,8.72,3.333333333333333,18.454545454545453,0.0,12.22222222222222,0.0,0.0,13.787234042553191,0.0
52,Braised Chicken With Artichokes and Olives,4.375,57.66666666666667,61.93,15.0,33.53454545454545,50.30434782608696,85.00000000000001,66.16,0.0,36.77777777777778,41.00000000000001,60.84615384615385,136.33333333333334,0.0,58.53333333333333,0.0,20.833333333333336,22.846153846153847,26.368750000000006,35.0,38.5,0.0,0.0,5.2,17.759999999999998,48.57142857142857,28.636363636363637,19.81818181818182,93.66666666666666,686.9565217391306,0.0,24.127659574468083,14.2
53,Pancetta Roast Chicken with Walnut Stuffing,5.0,66.3974358974359,93.94999999999999,38.66666666666667,0.0,41.95652173913043,0.0,57.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Collard-and-Prosciutto Chicken Roulades Over Watercress Salad,5.0,55.679487179487175,81.52,45.333333333333336,46.81090909090909,115.8695652173913,60.714285714285715,137.10000000000002,120.0,18.88888888888889,74.0,26.538461538461537,25.72222222222222,0.0,9.666666666666666,0.0,7.000000000000001,9.153846153846152,1.2375,8.529411764705882,1.7500000000000002,0.0,0.0,0.0,5.04,5.238095238095238,1.0909090909090908,1.6363636363636365,8.88888888888889,0.0,0.0,9.553191489361701,1.7454545454545456
70,"Roasted Butternut Squash, Rosemary, and Garlic Lasagne",4.375,34.08974358974359,88.18500000000002,17.666666666666668,44.130909090909086,27.43478260869565,18.214285714285715,71.8,0.0,33.77777777777778,95.22222222222221,53.61538461538461,22.88888888888889,0.0,3.4666666666666663,0.0,89.25,29.0,38.36875,5.882352941176471,10.25,0.0,0.0,5.42,2.24,5.238095238095238,2.727272727272728,1.2727272727272725,9.444444444444445,1.9130434782608692,0.0,3.7659574468085113,2.4363636363636365
80,"Braised Chicken and Rice with Orange, Saffron, Almond, and Pistachio Syrup",4.375,131.64102564102566,73.64500000000001,16.666666666666668,90.97818181818181,71.29391304347826,116.78571428571428,140.64000000000001,0.0,2.666666666666667,91.55555555555554,67.92307692307692,170.77777777777777,0.0,13.53333333333333,0.0,12.916666666666668,37.69230769230769,37.65625,94.3529411764706,10.25,0.0,0.0,1.26,93.91999999999999,141.66666666666669,71.18181818181819,56.9090909090909,472.77777777777777,795.1739130434784,0.0,28.76595744680851,4.454545454545455
84,Braised Brisket with Bourbon-Peach Glaze,4.375,74.51282051282053,90.58000000000001,68.33333333333333,20.781818181818178,39.34782608695652,12.85714285714286,156.94,71.4,0.1111111111111111,0.0,2.4615384615384617,66.27777777777779,1.0,0.9333333333333336,0.0,6.333333333333334,19.0,26.34375,23.52941176470588,3.5,107.91666666666664,0.0,0.0,19.28,40.71428571428572,112.45454545454547,50.54545454545455,13.333333333333332,43.47826086956522,0.0,15.76595744680851,20.945454545454545
91,Salmon with Chili-Mango Salsa,4.375,104.57692307692307,156.73499999999999,143.66666666666669,81.49818181818182,85.30434782608697,75.0,152.64,0.0,12.666666666666664,34.22222222222222,56.69230769230769,32.166666666666664,7.5,51.46666666666667,3.916666666666667,18.25,29.461538461538463,10.44375,8.235294117647058,15.0,60.833333333333336,0.0,5.44,26.88,10.714285714285714,15.181818181818182,64.18181818181819,19.444444444444443,7.91304347826087,0.0,25.680851063829785,38.47272727272727
92,Turkey and Pinto Bean Chili,4.375,9.730769230769232,7.9399999999999995,12.999999999999998,10.167272727272728,58.82608695652175,22.5,31.8,0.0,0.1111111111111111,0.6666666666666666,6.0,15.722222222222221,0.0,6.733333333333333,0.0,9.5,11.76923076923077,4.46875,8.23529411764706,5.75,0.0,0.0,0.0,10.0,10.238095238095237,7.0,14.727272727272728,23.88888888888889,0.0,0.0,8.72340425531915,3.6363636363636367
103,Short Rib Pot Pie,5.0,31.102564102564102,52.95,56.0,0.0,21.26086956521739,0.0,118.39999999999999,0.0,0.8888888888888888,0.0,2.5384615384615383,37.22222222222223,1.0,4.933333333333334,0.0,2.5,6.9230769230769225,26.9375,15.0,0.0,48.75,0.0,5.86,14.72,4.761904761904762,35.909090909090914,5.2727272727272725,5.222222222222221,0.2608695652173913,0.0,7.170212765957447,0.0
128,Spicy Sesame Noodles with Chopped Peanuts and Thai Basil,4.375,96.5897435897436,58.519999999999996,5.0,83.21818181818182,38.81565217391305,50.714285714285715,130.98,0.0,0.1111111111111111,4.0,21.230769230769234,86.5,0.0,6.7333333333333325,0.0,111.91666666666667,50.53846153846153,52.1125,30.176470588235293,60.25,0.0,0.0,0.2199999999999999,43.120000000000005,100.47619047619048,60.09090909090909,59.63636363636363,521.2222222222222,86.69565217391306,0.0,13.914893617021276,20.163636363636364
