,title,rating,fat,Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Magnesium,Zinc,Selenium,Copper,Manganese,Molybdenum,Potassium,Choline
19,"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers",5.0,20.41025641025641,18.800000000000004,26.333333333333336,15.214545454545455,146.69565217391306,55.714285714285715,31.700000000000003,0.0,31.333333333333332,92.33333333333333,16.307692307692307,38.44444444444444,2.5,11.8,0.0,16.416666666666668,22.846153846153847,11.83125,17.764705882352942,38.25,11.666666666666668,0.0,0.0,12.4,15.476190476190476,11.636363636363635,14.181818181818183,25.0,0.0,0.0,20.21276595744681,11.89090909090909
34,Fontina Mac with Squash and Sage,5.0,146.44871794871796,351.62,114.66666666666667,43.31636363636363,153.65217391304347,26.42857142857143,231.06,0.0,60.11111111111111,27.333333333333336,180.23076923076923,28.833333333333332,5.5,8.666666666666668,7.333333333333332,91.16666666666667,68.53846153846153,39.8375,16.23529411764706,5.25,128.33333333333334,0.0,9.22,78.96000000000001,14.285714285714285,72.09090909090911,89.45454545454545,12.666666666666668,5.0,0.0,7.808510638297872,6.727272727272727
61,"Romaine, Grilled Avocado, and Smoky Corn Salad with Chipotle-Caesar Dressing",4.375,104.67948717948718,119.28500000000001,42.0,48.96363636363636,139.0869565217391,119.64285714285715,90.5,9.6,249.88888888888886,87.88888888888889,79.38461538461539,44.94444444444444,2.5,56.26666666666666,7.333333333333332,16.083333333333336,128.61538461538458,57.58125,56.64705882352941,24.75,69.16666666666667,0.0,28.12,67.2,33.33333333333334,52.09090909090909,72.9090909090909,35.333333333333336,38.78260869565218,0.0,51.59574468085108,20.454545454545453
133,Radishes with Burrata,5.0,37.57692307692308,96.36000000000001,17.666666666666668,11.94909090909091,35.47826086956521,15.0,48.82,0.0,39.44444444444444,60.33333333333333,7.0,7.166666666666666,0.0,0.0,0.0,1.0,3.0,1.5875,4.176470588235294,6.25,0.0,0.0,0.0,1.6,2.380952380952381,2.5454545454545454,1.0909090909090908,5.555555555555556,0.0,0.0,4.957446808510638,1.181818181818182
147,Shrimp Cakes with Andouille Sausage,4.375,26.974358974358974,38.52,132.66666666666666,14.574545454545454,79.65217391304347,22.5,114.53999999999999,8.0,7.000000000000001,5.222222222222222,18.0,24.11111111111111,0.5,16.066666666666666,0.0,5.583333333333334,3.0769230769230766,13.63125,10.117647058823527,7.000000000000001,42.91666666666667,0.0,0.0,21.84,6.190476190476191,10.090909090909092,60.54545454545453,23.0,0.0,0.0,12.999999999999998,16.454545454545453
212,Bratwurst and Red Cabbage,4.375,8.653846153846153,15.935,23.33333333333333,11.254545454545456,36.08695652173913,16.785714285714285,18.74,0.0,0.5555555555555556,5.222222222222222,8.846153846153847,20.22222222222222,0.0,0.7333333333333333,0.0,1.25,18.076923076923077,10.08125,15.23529411764706,14.5,0.8333333333333334,0.0,0.0,3.04,4.761904761904762,2.090909090909091,2.0,3.2222222222222223,0.0,0.0,3.787234042553192,4.654545454545454
232,Butternut Squash-Parsnip Soup with Thyme,4.375,12.807692307692307,12.504999999999999,1.3333333333333335,24.592727272727274,32.826086956521735,53.92857142857142,15.9,8.0,36.77777777777778,51.00000000000001,14.923076923076922,24.27777777777778,0.0,18.333333333333332,0.0,15.666666666666664,13.076923076923077,16.025,32.82352941176471,31.75,0.0,0.0,11.620000000000001,12.800000000000002,23.333333333333336,9.363636363636365,5.999999999999999,35.00000000000001,10.086956521739133,0.0,30.340425531914896,10.727272727272727
240,The BA Patty Melt,4.375,56.769230769230774,94.19999999999999,65.33333333333333,0.0,21.826086956521742,0.0,109.8,0.0,0.0,0.0,2.769230769230769,36.055555555555564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,Cold Noodle Salad with Ponzu Sauce,4.375,61.67948717948719,31.38,83.33333333333334,48.86545454545455,277.17391304347825,27.500000000000004,65.46000000000001,0.0,36.44444444444444,74.55555555555556,12.615384615384615,42.22222222222223,7.5,7.0,0.0,100.66666666666667,65.46153846153847,52.0875,20.470588235294116,38.75,20.833333333333336,0.0,0.0,29.519999999999996,32.38095238095238,24.36363636363636,38.18181818181818,35.11111111111111,0.0,0.0,18.595744680851062,34.96363636363636
268,To Cook Dried Udon Noodles,4.375,2.2948717948717947,0.0,0.0,28.581818181818186,0.0,12.85714285714286,25.0,0.0,0.0,0.0,0.0,17.833333333333336,0.0,0.0,0.0,83.33333333333334,23.384615384615383,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,"Corn Salad With Hazelnuts, Pecorino, and Mint",5.0,127.96153846153848,181.70000000000002,21.666666666666668,87.14909090909092,47.598260869565216,35.357142857142854,98.50000000000001,9.6,39.44444444444444,43.888888888888886,19.769230769230766,62.94444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.56,59.76190476190476,46.09090909090909,37.63636363636363,246.66666666666669,84.78260869565219,0.0,15.021276595744682,0.0
360,"Egg Noodle, Chard, and Fontina Torte",4.375,82.92307692307693,179.715,49.99999999999999,51.54545454545455,57.73913043478261,30.35714285714286,92.78,0.0,64.0,24.33333333333333,56.30769230769231,29.555555555555557,3.0,17.666666666666664,0.0,88.25000000000001,45.92307692307692,36.9125,11.647058823529413,4.25,70.0,0.0,0.0,31.52,23.333333333333332,35.27272727272727,27.999999999999996,23.444444444444446,0.0,0.0,9.76595744680851,6.254545454545455
366,Savory Parmesan Pain Perdu with Poached Eggs and Greens,4.375,81.97435897435898,165.185,47.0,28.389090909090907,99.47826086956522,14.642857142857144,85.84,0.0,29.666666666666668,1.3333333333333333,76.46153846153847,7.222222222222223,2.5,9.533333333333335,7.333333333333332,5.333333333333334,34.153846153846146,10.7875,12.411764705882355,4.5,75.0,0.0,9.0,55.839999999999996,11.19047619047619,50.81818181818183,76.72727272727272,9.222222222222221,3.0869565217391304,0.0,6.787234042553191,8.836363636363636
368,"Fried Eggplant, Tomato, and Cucumber Salad",4.375,25.282051282051285,19.275,0.0,15.25090909090909,27.086956521739125,25.0,15.86,0.0,40.55555555555556,54.55555555555555,8.846153846153847,15.055555555555554,0.0,4.933333333333334,0.0,20.916666666666668,11.307692307692308,10.6,13.647058823529411,11.25,0.0,0.0,0.0,14.639999999999999,21.666666666666668,13.727272727272727,18.181818181818183,48.77777777777778,0.0,0.0,8.53191489361702,2.7818181818181817
388,Tomato and Tomatillo Gazpacho,4.375,37.19230769230769,20.61,0.0,72.96,42.26086956521739,174.6428571428571,81.72,8.0,147.33333333333331,47.888888888888886,13.538461538461538,79.5,0.0,23.46666666666667,0.0,93.75000000000001,120.53846153846153,95.0625,50.94117647058824,14.5,0.0,0.0,22.12,15.84,25.71428571428572,11.272727272727272,7.2727272727272725,34.111111111111114,42.34782608695652,0.0,55.70212765957447,16.709090909090907
393,Zucchini Potato Tortilla,4.375,52.43589743589744,95.56,35.333333333333336,49.018181818181816,35.869565217391305,28.92857142857143,44.50000000000001,0.0,7.111111111111111,14.555555555555554,15.230769230769234,26.16666666666667,2.5,10.4,0.0,92.25000000000001,36.53846153846153,35.5125,5.470588235294118,5.75,11.666666666666668,0.0,0.0,6.16,3.095238095238096,4.0,11.454545454545457,2.0,0.0,0.0,9.382978723404257,9.763636363636364
403,Mom's Hearty Chicken and Rice Soup,4.375,8.76923076923077,7.645,16.666666666666668,23.632727272727273,44.913043478260875,5.357142857142857,51.16,0.0,0.1111111111111111,91.66666666666666,54.230769230769226,10.944444444444445,0.0,0.6666666666666667,0.0,2.0,4.076923076923077,1.7812499999999998,1.4705882352941178,0.5,0.0,0.0,0.0,1.6,0.7142857142857143,0.7272727272727273,0.7272727272727273,2.111111111111111,0.0,0.0,0.8936170212765958,0.6727272727272727
