title,fat,Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Magnesium,Zinc,Selenium,Copper,Manganese,Molybdenum,Potassium,Choline
almond,67.58974358974359,21.125,0.0,7.676363636363637,10.08695652173913,34.285714285714285,41.34,0.0,0.0,0.0,20.23076923076923,22.666666666666668,0.0,110.46666666666667,0.0,7.833333333333334,71.76923076923077,24.2875,4.882352941176471,10.5,0.0,0.0,0.0,40.32,63.33333333333333,28.72727272727273,1.4545454545454546,107.66666666666667,0.0,0.0,15.76595744680851,9.418181818181818
amaretto,12.82051282051282,16.650000000000002,0.0,12.109090909090908,2.9130434782608696,0.0,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchovy,12.448717948717949,11.015,28.333333333333332,0.0,159.47826086956522,0.0,57.78,0.0,1.3333333333333335,0.0,17.846153846153847,25.722222222222225,8.5,22.2,0.0,6.5,27.923076923076923,124.39375,11.941176470588237,3.25,36.66666666666667,0.0,0.0,20.16,16.428571428571427,22.18181818181818,123.8181818181818,37.66666666666667,0.0,0.0,11.574468085106384,15.454545454545453
anise,20.384615384615383,2.93,0.0,18.181818181818183,0.6956521739130435,52.142857142857146,35.2,0.0,1.7777777777777777,23.333333333333332,49.69230769230769,205.55555555555554,0.0,0.0,0.0,28.33333333333334,22.307692307692307,19.125,38.235294117647065,2.5,0.0,0.0,15.940000000000001,35.199999999999996,40.476190476190474,48.18181818181818,9.090909090909092,101.11111111111111,100.0,0.0,30.638297872340424,0.0
appetizer,5.128205128205128,5.0,0.0,3.272727272727273,19.565217391304348,10.714285714285714,2.0,8.0,0.0,0.0,1.6153846153846154,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.212765957446807,0.0
apple,0.8333333333333334,0.0,0.0,5.2,0.0,11.428571428571429,0.0,0.0,0.0,3.4444444444444446,0.0,1.277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3404255319148937,0.0
apricot,0.0,0.0,0.0,4.909090909090909,0.26086956521739135,0.0,0.0,0.0,0.0,19.555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5106382978723405,0.0
artichoke,0.43589743589743596,0.395,0.0,4.345454545454546,2.608695652173913,20.357142857142858,5.78,0.0,0.1111111111111111,8.222222222222223,1.6153846153846154,3.3888888888888884,0.0,1.2666666666666666,0.0,4.166666666666667,6.846153846153847,6.937500000000001,4.764705882352942,22.25,0.0,0.0,0.0,5.84,10.0,3.6363636363636367,0.36363636363636365,14.11111111111111,0.0,0.0,6.085106382978724,6.254545454545454
arugula,0.8974358974358974,0.0,0.0,1.28,1.2173913043478262,5.0,5.64,0.0,13.333333333333334,16.444444444444446,12.461538461538462,8.222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.787234042553191,0.0
asparagus,0.0,0.0,0.0,1.2836363636363635,0.0,8.571428571428571,4.7,0.0,0.0,0.0,1.8461538461538463,13.055555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.297872340425532,0.0
avocado,55.551282051282044,29.89,13.333333333333334,2.6763636363636363,37.69565217391304,0.35714285714285715,3.8,0.0,1.1111111111111112,0.2222222222222222,2.6153846153846154,1.9444444444444444,0.0,30.666666666666664,0.0,1.6666666666666667,3.8461538461538463,0.8750000000000001,0.5882352941176471,1.0,10.833333333333334,0.0,0.0,2.48,1.6666666666666667,2.272727272727273,2.909090909090909,1.1111111111111112,0.0,0.0,1.2340425531914894,0.6545454545454545
bacon,64.1025641025641,89.49999999999999,23.666666666666668,0.0,34.17391304347826,0.0,14.279999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banana,8.012820512820513,0.0,0.0,14.763636363636365,25.82608695652174,22.142857142857146,25.0,0.0,0.0,16.666666666666664,9.615384615384617,6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
